name,type,status,latitude,longitude,address,country,zip,timeZone
BWI6,AFO,Active,38.79862,-77.16955,"5617 Industrial Drive, Springfield, VA",United States,22151,America/New_York (UTC:-04:00)
DAL6,AFO,Active,32.8284,-97.35461,"4601 Gold Spike Drive, Fort Worth, TX",United States,76106,America/Chicago (UTC:-05:00)
DEN6,AFO,Active,39.79406,-104.98108,"480 East 55th Avenue, Denver, CO",United States,80216,America/Denver (UTC:-06:00)
EWR6,AFO,Active,40.58316,-74.2572,"275 Omar Avenue, Avenel, NJ",United States,7001,America/New_York (UTC:-04:00)
JFK2,AFO,Active,40.74902,-73.9853,"7 West 34th Street, New York, NY",United States,10001,America/New_York (UTC:-04:00)
PKG_SANLEANDRO6_USF2,AFO,Active,37.70491,-122.16313,"1788 Fairway Drive, San Leandro, CA",United States,94577,America/Los_Angeles (UTC:-07:00)
SJC9,AFO,Active,37.69079,-122.41715,"455 Valley Drive, Brisbane, CA",United States,94005,America/Los_Angeles (UTC:-07:00)
UAZ1,AFO,Active,33.44325,-111.9789,"500 South 48th Street, Phoenix, AZ",United States,85034,America/Phoenix (UTC:-07:00)
UCA1,AFO,Active,37.7606,-122.38976,"888 Tennessee Street, San Francisco, CA",United States,94107,America/Los_Angeles (UTC:-07:00)
UCA3,AFO,Active,34.03276,-118.44981,"11800 W. Olympic Boulevard, Los Angeles, CA",United States,90064,America/Los_Angeles (UTC:-07:00)
UCA5,AFO,Active,34.11715,-118.25064,"3334 N San Fernando Road, Los Angeles, CA",United States,90065,America/Los_Angeles (UTC:-07:00)
UCA6,AFO,Active,32.74969,-117.201,"2727 Kurtz Street, San Diego, CA",United States,92110,America/Los_Angeles (UTC:-07:00)
UFL4,AFO,Active,28.46049,-81.43897,"7469 Kingspointe Parkway, Orlando, FL",United States,32819,America/New_York (UTC:-04:00)
UFL5,AFO,Active,27.99227,-82.35326,"4769 Oak Fair  Boulevard, Tampa, FL",United States,33610,America/New_York (UTC:-04:00)
UGA2,AFO,Active,33.81866,-84.45156,"2302 & 2290-2300 Marietta Boulevard, Atlanta, GA",United States,30309,America/New_York (UTC:-04:00)
UGA4,AFO,Active,33.97601,-84.11453,"2232 Northmont Parkway, Duluth, GA",United States,30096,America/New_York (UTC:-04:00)
UIL2,AFO,Active,41.98714,-87.98755,"1250 North Mittle Boulevard, Wood Dale, IL",United States,60191,America/Chicago (UTC:-05:00)
ULA6,AFO,Active,33.99289,-118.1821,"Pacific District Center, Building A, 5119 District Boulevard, Vernon, CA",United States,90058,America/Los_Angeles (UTC:-07:00)
UMN1,AFO,Active,44.98353,-93.21727,"763 Kasota Avenue, Minneapolis, MN",United States,55414,America/Chicago (UTC:-05:00)
UNC2,AFO,Active,35.82434,-78.61302,"1590 Wolfpack Lane, Raleigh, NC",United States,27609,America/New_York (UTC:-04:00)
UNC3,AFO,Active,35.28248,-80.83559,"4525 Statesville Avenue, Charlotte, NC",United States,28269,America/New_York (UTC:-04:00)
UNV2,AFO,Active,36.08545,-115.126,"1945 East Russel Road, Las Vegas, NV",United States,89119,America/Los_Angeles (UTC:-07:00)
UNY1,AFO,Active,40.6588,-74.00345,"850 3rd Avenue, Brooklyn, NY",United States,11232,America/New_York (UTC:-04:00)
UNY2,AFO,Active,40.81145,-73.89669,"1080 Leggett Avenue, The Bronx, NY",United States,10474,America/New_York (UTC:-04:00)
UNY5,AFO,Active,40.67305,-74.00688,"55 Bay Street, Brooklyn, NY",United States,11231,America/New_York (UTC:-04:00)
UOH4,AFO,Active,39.98662,-83.1215,"4401 Equity Drive, Columbus, OH",United States,43228,America/New_York (UTC:-04:00)
UOH5,AFO,Active,39.33995,-84.45239,"8660 Jacquemin Drive, West Chester, OH",United States,45069,America/New_York (UTC:-04:00)
UPA1,AFO,Active,39.95562,-75.20551,"4100 Chestnut Street, Philadelphia, PA",United States,19104,America/New_York (UTC:-04:00)
USD1,AFO,Active,32.8288,-117.13184,"9269 Lightwave Avenue, San Diego, CA",United States,92123,America/Los_Angeles (UTC:-07:00)
USF1,AFO,Active,37.37879,-121.94694,"750 Laurelwood Road, Santa Clara, CA",United States,95054,America/Los_Angeles (UTC:-07:00)
USF2,AFO,Active,37.70491,-122.16313,"1788 Fairway Drive, San  Leandro, CA",United States,94557,America/Los_Angeles (UTC:-07:00)
UTN1,AFO,Active,36.09171,-86.68974,"410 Harding Industrial Drive, Nashville, TN",United States,37211,America/Chicago (UTC:-05:00)
UTX3,AFO,Active,29.83409,-95.50008,"4241 Way Out West Blvd., Houston, TX",United States,77092,America/Chicago (UTC:-05:00)
UTX4,AFO,Active,32.82846,-96.84591,"6627 Maple Avenue, Dallas, TX",United States,75235,America/Chicago (UTC:-05:00)
UTX7,AFO,Active,32.8284,-97.35461,"4601 Gold Spike Drive, Fort Worth, TX",United States,76106,America/Chicago (UTC:-05:00)
UTX8,AFO,Active,29.49709,-98.39624,"4825 Eisenhauer Road, Windcrest, TX",United States,78218,America/Chicago (UTC:-05:00)
UTX9,AFO,Active,30.44504,-97.70832,"4616 West Howard Lane, Austin, TX",United States,78728,America/Chicago (UTC:-05:00)
UVA4,AFO,Active,37.57704,-77.47937,"4100 Tomlynn Street, Richmond, VA",United States,23230,America/New_York (UTC:-04:00)
UVA5,AFO,Active,36.82322,-76.05252,"492 Central Drive, Virginia Beach, VA",United States,23454,America/New_York (UTC:-04:00)
UWA1,AFO,Active,47.70528,-122.18266,"11710 118th Avenue NE, Kirkland, WA",United States,98034,America/Los_Angeles (UTC:-07:00)
UWA2,AFO,Active,47.72799,-122.34594,"13537 Aurora Avenue North, Seattle, WA",United States,98133,America/Los_Angeles (UTC:-07:00)
UWA4,AFO,Active,47.58114,-122.33573,"2401 Utah Avenue South, Seattle, WA",United States,98134,America/Los_Angeles (UTC:-07:00)
UWA6,AFO,Active,47.4197,-122.22672,"20202 84th Avenue South, Kent, WA",United States,98032,America/Los_Angeles (UTC:-07:00)
UWI2,AFO,Active,43.01179,-87.96328,"3935 West Mitchell Street, Milwaukee, WI",United States,53215,America/Chicago (UTC:-05:00)
MAB1,AFS US,Active,34.13892,-118.60105,"6245 N Topanga Canyon Blvd, Woodland Hills, CA",United States,91367,America/Los_Angeles (UTC:-07:00)
MAB1_TEMP STORAGE,AFS US,Active,34.18421,-118.60709,"6245 Topanga Canyon Boulevard, Los Angeles, CA",United States,91367,America/Los_Angeles (UTC:-07:00)
MAB2,AFS US,Active,47.57589,-122.17114,"3901 Factoria Blvd SE, Bellevue, WA",United States,98006,America/Los_Angeles (UTC:-07:00)
MAB3,AFS US,Active,38.8601,-77.30329,"10360 Fairfax Blvd, Fairfax, VA",United States,22030,America/New_York (UTC:-04:00)
MAB4,AFS US,Active,34.16322,-118.37405,"5101 Lankershim Blvd, North Hollywood, CA",United States,91601,America/Los_Angeles (UTC:-07:00)
MAB5,AFS US,Active,34.27347,-118.55495,"19340 Rinaldi Street, Northridge, CA",United States,91326,America/Los_Angeles (UTC:-07:00)
